You are an SRE assistant. Read the incident memo and answer with exactly 6 concise bullets: 5 factual bullets and 1 mitigation recommendation with rationale.

Incident memo:
- Service: IVY inference gateway
- Primary region: ap-south-1
- Backup region: us-east-1
- Release train: r2026.04
- SLA target: 99.95%
- Symptom: latency spikes every 17 minutes during compaction
- User impact: p95 completion latency rises while p50 stays mostly stable
- Current mitigation: stagger compaction windows and cap merge fanout
- Constraint: no schema changes this quarter
- Watch items: GPU memory pressure, queue depth, prompt prefill time, decode throughput

Question: summarize the incident facts and recommend the safest next mitigation.

Detailed context (ivy-gateway shards, ap-south-1 primary us-east-1 standby, r2026.04.N, compaction latency spike, no schema changes, prompt prefill first, decode stable, cite facts separate obs from mitig no speculation):
Service shard: ivy-gateway-1 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.1 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-20 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.20 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-21 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.21 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-22 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.22 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-23 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.23 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-24 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.24 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-25 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.25 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-26 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.26 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-27 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.27 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-28 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.28 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-29 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.29 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-30 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.30 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-31 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.31 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-32 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.32 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-33 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.33 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-34 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.34 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-35 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.35 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-36 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.36 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-37 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.37 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-38 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.38 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-39 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.39 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-40 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.40 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-41 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.41 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-42 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.42 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-43 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.43 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-44 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.44 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-45 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.45 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-46 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.46 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-47 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.47 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-48 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.48 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-49 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.49 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-50 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.50 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-51 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.51 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-52 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.52 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-53 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.53 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-54 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.54 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-55 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.55 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-56 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.56 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-57 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.57 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-58 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.58 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-59 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.59 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-60 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.60 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-61 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.61 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-62 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.62 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-63 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.63 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-64 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.64 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-65 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.65 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-66 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.66 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-67 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.67 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Service shard: ivy-gateway-68 | Region: ap-south-1 primary us-east-1 standby | Release: r2026.04.68 | Issue: latency spike aligns with compaction cache refresh | Constraint: no schema changes | Evidence: prompt prefill changes first decode stable | Style: cite facts separate obs from mitig no speculation
Answer:
