You are an SRE assistant. Read the incident memo and answer with exactly 6 concise bullets: 5 factual bullets and 1 mitigation recommendation with rationale.

Incident memo:
- Service: IVY inference gateway | Primary: ap-south-1 | Backup: us-east-1 | Release: r2026.04 | SLA: 99.95%
- Symptom: latency spikes every 17min during compaction | Impact: p95 rises p50 stable
- Current: stagger compaction windows cap merge fanout | Constraint: no schema changes
- Watch: GPU memory queue depth prefill time decode throughput

Question: summarize incident facts recommend safest next mitigation.

Detailed context (ivy-gateway-N | ap-south-1 | r2026.04.N | latency spike compaction | no schema | prompt prefill first | stable decode | cite facts):
47|ivy-gateway-47|ap-south-1|r2026.04.47|latency spike compaction|no schema|prompt prefill first|stable decode|cite facts
48|ivy-gateway-48|ap-south-1|r2026.04.48|latency spike compaction|no schema|prompt prefill first|stable decode|cite facts
49|ivy-gateway-49|ap-south-1|r2026.04.49|latency spike compaction|no schema|prompt prefill first|stable decode|cite facts
50|ivy-gateway-50|ap-south-1|r2026.04.50|latency spike compaction|no schema|prompt prefill first|stable decode|cite facts
51|ivy-gateway-51|ap-south-1|r2026.04.51|latency spike compaction|no schema|prompt prefill first|stable decode|cite facts
52|ivy-gateway-52|ap-south-1|r2026.04.52|latency spike compaction|no schema|prompt prefill first|stable decode|cite facts
53|ivy-gateway-53|ap-south-1|r2026.04.53|latency spike compaction|no schema|prompt prefill first|stable decode|cite facts
54|ivy-gateway-54|ap-south-1|r2026.04.54|latency spike compaction|no schema|prompt prefill first|stable decode|cite facts
55|ivy-gateway-55|ap-south-1|r2026.04.55|latency spike compaction|no schema|prompt prefill first|stable decode|cite facts
56|ivy-gateway-56|ap-south-1|r2026.04.56|latency spike compaction|no schema|prompt prefill first|stable decode|cite facts
57|ivy-gateway-57|ap-south-1|r2026.04.57|latency spike compaction|no schema|prompt prefill first|stable decode|cite facts
58|ivy-gateway-58|ap-south-1|r2026.04.58|latency spike compaction|no schema|prompt prefill first|stable decode|cite facts
59|ivy-gateway-59|ap-south-1|r2026.04.59|latency spike compaction|no schema|prompt prefill first|stable decode|cite facts
60|ivy-gateway-60|ap-south-1|r2026.04.60|latency spike compaction|no schema|prompt prefill first|stable decode|cite facts
61|ivy-gateway-61|ap-south-1|r2026.04.61|latency spike compaction|no schema|prompt prefill first|stable decode|cite facts
62|ivy-gateway-62|ap-south-1|r2026.04.62|latency spike compaction|no schema|prompt prefill first|stable decode|cite facts
63|ivy-gateway-63|ap-south-1|r2026.04.63|latency spike compaction|no schema|prompt prefill first|stable decode|cite facts
64|ivy-gateway-64|ap-south-1|r2026.04.64|latency spike compaction|no schema|prompt prefill first|stable decode|cite facts
65|ivy-gateway-65|ap-south-1|r2026.04.65|latency spike compaction|no schema|prompt prefill first|stable decode|cite facts
66|ivy-gateway-66|ap-south-1|r2026.04.66|latency spike compaction|no schema|prompt prefill first|stable decode|cite facts
67|ivy-gateway-67|ap-south-1|r2026.04.67|latency spike compaction|no schema|prompt prefill first|stable decode|cite facts
68|ivy-gateway-68|ap-south-1|r2026.04.68|latency spike compaction|no schema|prompt prefill first|stable decode|cite facts
Answer:
